Release,Hardware arch,Patch,Comment,Category
2.6,sparc,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/sparc/014_eepromy2k.patch,,Y2K
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/013_addusery2k.patch,,Y2K
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/012_3c900b.patch,,Driver improvement
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/011_poll.patch,,Security
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/010_sendmail.patch,,Security
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/009_atapi.patch,,Driver improvement
2.6,m68k,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/m68k/007_locore.patch,,Reliability
2.6,alpha,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/alpha/006_locore.patch,,Reliability
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/005_sshjumbo.patch,,Functionality
2.6,sparc,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/sparc/004_locore.patch,,Reliability
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/003_m4.patch,,Functionality
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/002_ifmedia.patch,,Security
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/001_newsyslog.patch,,Reliability
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/040_readline.patch,,Security
2.7,All,-,description of issue number 39 is absent,
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/038_named.patch,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/037_ftpd.patch,,Security
2.7,sparc,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/sparc/036_qe.patch,,Reliability
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/035_sshforwarding.patch,,Security
2.7,sparc,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/sparc/034_zsconsole.patch,,Reliability
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/033_execsubr.patch,,Reliability
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/032_xtrans.patch,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/031_httpd.patch,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/030_telnetd.patch,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/029_sendmail.patch,,Reliability
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/028_format_strings.patch,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/027_curses.patch,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/026_talkd.patch,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/025_pw_error.patch,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/024_ipsec.patch,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/023_xlock.patch,,Security
2.7,All,-,,Installation fix
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/021_X11_libs.patch,,Security
2.7,pmax,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/pmax/020_pmax_msgbuf.patch,,Kernel bug
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/019_ftpd.patch,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/018_mopd.patch,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/ports/017_screen.patch,,Installation bug
2.7,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/i386/016_xlhash.patch,,Driver bug
2.7,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/i386/015_ste.patch,,Driver bug
2.7,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/i386/014_pcvt.patch,,Driver bug
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/013_libedit.patch,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/012_dhclient.patch,,Security
2.7,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/i386/011_an.patch,,Driver bug
2.7,amiga,-,,CD distribution error
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/009_isakmpd.patch,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/008_msdosfs.patch,,Reliability
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/007_cd9660.patch,,Reliability
2.7,All,-,,Security
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/005_ipopts.patch,,Reliability
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/004_route.patch,,Reliability
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/003_bridge.patch,,Reliability
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/002_ef.patch,,Driver fix
2.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.7/common/001_ipf.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/033_uucp.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/032_lpd.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/031_sendmail.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/030_kernexec.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/029_fts.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/028_sendmail.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/027_ipf-frag.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/026_globlimit.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/025_glob.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/024_readline.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/023_ip_ah.patch,,Security
2.8,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/i386/022_userltd.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/021_sudo.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/020_libwrap.patch,,Implementation fix
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/019_lepci.patch,,Implementation fix
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/018_named.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/017_rnd.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/016_tl.patch,,Reliability
2.8,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/i386/015_pms.patch,,Stability
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/014_xlock.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/013_procfs.patch,,Security
2.8,powerpc,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/powerpc/012_imacdv.patch,,Install problem
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/011_hwcrypto.patch,,Reliability
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/010_fastroute.patch,,Reliability
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/009_kerberos2.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/008_kerberos.patch,,Security
2.8,All,-,,Install problem
2.8,All,-,,Stability
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/005_ftpd.patch,,Security
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/004_rijndael.patch,,Reliability
2.8,sparc,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/sparc/003_qe.patch,,Reliability
2.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/common/002_sshskey.patch,,Implementation fix
2.8,sparc,https://ftp.openbsd.org/pub/OpenBSD/patches/2.8/sparc/001_zsconsole.patch,,Reliability
